ID,Ebene,Struktur,Block,Feld,Text,Neu/Kommentar
arena/b5/l1/body,4,"            · Social Scramble, Scramble King",fbox-line,body,"Social Scramble, Scramble King",
arena/b5/l2/title,3,        • Queue scorecard,fbox-line,title,Queue scorecard,
arena/b5/l2/body,4,"            · King of the Court, Doghouse",fbox-line,body,"King of the Court, Doghouse",
quick-game/title,1,Quick Game,page,title,Quick Game,
quick-game/eyebrow,2,    · Eyebrow,page,eyebrow,Standalone,
quick-game/h1,2,    · Überschrift,page,h1,Quick Game,
quick-game/lead,2,    · Lead,page,lead,"When you just need a scorecard. No roster, no schedule, no setup to undo afterwards.",
quick-game/b0/badge,2,    ▸ Panel: The whole flow,panel,badge,The whole flow,
quick-game/b0/i0/label,3,        • TournaQ Arena,step,label,TournaQ Arena,
quick-game/b0/i0/cap,4,            · The same screen the tournaments start from.,step,cap,The same screen the tournaments start from.,
quick-game/b0/i1/label,3,        • Quick Game,step,label,Quick Game,
quick-game/b0/i1/cap,4,"            · Name the two sides, set the format, done.",step,cap,"Name the two sides, set the format, done.",
quick-game/b0/i2/label,3,        • Scorecard,step,label,Scorecard,
quick-game/b0/i2/cap,4,            · Start counting.,step,cap,Start counting.,
quick-game/b1/title,2,    ▸ Box: Nothing to clean up afterwards,fbox,title,Nothing to clean up afterwards,
quick-game/b1/body,3,        · Fließtext,fbox,body,"A quick game is a game, not a tournament. It still lands in your history, so a casual match you decided to keep is not lost.",
quick-game/b1/l0/title,3,        • Running in seconds,fbox-line,title,Running in seconds,
quick-game/b1/l0/body,4,            · Two names and a target score is all it needs,fbox-line,body,Two names and a target score is all it needs,
quick-game/b1/l1/title,3,        • Any format,fbox-line,title,Any format,
quick-game/b1/l1/body,4,"            · Same team sizes, sets and target points as the tournament scorecard",fbox-line,body,"Same team sizes, sets and target points as the tournament scorecard",
tournament-hub/title,1,Tournament Hub,page,title,Tournament Hub,
tournament-hub/eyebrow,2,    · Eyebrow,page,eyebrow,Step 3,
tournament-hub/h1,2,    · Überschrift,page,h1,Tournament Hub,
tournament-hub/lead,2,    · Lead,page,lead,"Where a tournament is built. Pick the mode, bring the people in, say how much time and how many courts you have — TournaQ works out the rest.",
tournament-hub/b0/badge,2,    ▸ Panel: Setting one up,panel,badge,Setting one up,
tournament-hub/b0/i0/label,3,        • Pick the mode,step,label,Pick the mode,
tournament-hub/b0/i0/cap,4,"            · League, elimination, Classic, Swiss, or one of the scrambles.",step,cap,"League, elimination, Classic, Swiss, or one of the scrambles.",
tournament-hub/b0/i1/label,3,        • Bring in the players,step,label,Bring in the players,
tournament-hub/b0/i1/cap,4,"            · Pull them from Administration — filter by group, search, or add the whole group at once — or type in new ones on the spot.",step,cap,"Pull them from Administration — filter by group, search, or add the whole group at once — or type in new ones on the spot.",
tournament-hub/b0/i2/label,3,        • Courts and format,step,label,Courts and format,
tournament-hub/b0/i2/cap,4,"            · How many courts, how big the teams, how long a game lasts.",step,cap,"How many courts, how big the teams, how long a game lasts.",
tournament-hub/b0/i3/label,3,        • Rounds and timing,step,label,Rounds and timing,
tournament-hub/b0/i3/cap,4,            · TournaQ builds the schedule and puts every game into a slot.,step,cap,TournaQ builds the schedule and puts every game into a slot.,
tournament-hub/b0/i4/label,3,        • Start,step,label,Start,
tournament-hub/b0/i4/cap,4,            · The tournament opens and the first games are ready to score.,step,cap,The tournament opens and the first games are ready to score.,
tournament-hub/b1/title,2,    ▸ Box: Run the same thing again,fbox,title,Run the same thing again,
tournament-hub/b1/body,3,        · Fließtext,fbox,body,"Copy a finished tournament and you get the same participants and the same settings, ready for next week — one tap instead of the whole setup.",
tournament-hub/b2/title,2,    ▸ Note: Draft note · the shortcut,note,title,Draft note · the shortcut,
tournament-hub/b2/body,3,        · Notiztext,note,body,"Your Principle diagram draws a dashed line straight from Administration to the Hub, bypassing the Arena. That is real: a saved roster means you can start at setup. The map on the home page keeps it dashed for exactly that reason.",
tournament/title,1,Running a Tournament,page,title,Running a Tournament,
tournament/eyebrow,2,    · Eyebrow,page,eyebrow,Step 4,
tournament/h1,2,    · Überschrift,page,h1,Running a tournament,
tournament/lead,2,    · Lead,page,lead,"Once it starts, the tournament screen is your control desk. Twelve things it does for you, grouped by what they are actually for.",
tournament/b0/badge,2,    ▸ Panel: Keeping time,panel,badge,Keeping time,
tournament/b0/sub,3,        · Unterzeile,panel,sub,The reason a session finishes when you said it would.,
tournament/b0/i0/label,3,        • Schedules,item,label,Schedules,
tournament/b0/i0/cap,4,"            · Every single game gets a time slot, so you always know what is left.",item,cap,"Every single game gets a time slot, so you always know what is left.",
tournament/b0/i1/label,3,        • Pace controls,item,label,Pace controls,
tournament/b0/i1/cap,4,"            · Optional. Shows you and the players when something is running early or late, while you can still react.",item,cap,"Optional. Shows you and the players when something is running early or late, while you can still react.",
tournament/b0/i2/label,3,        • Court allocations,item,label,Court allocations,
tournament/b0/i2/cap,4,"            · Who plays when and where, at a glance. Open and close courts as they become available.",item,cap,"Who plays when and where, at a glance. Open and close courts as they become available.",
tournament/b1/badge,2,    ▸ Panel: Keeping people in it,panel,badge,Keeping people in it,
tournament/b1/sub,3,        · Unterzeile,panel,sub,Sessions never survive contact with real life unchanged.,
tournament/b1/i0/label,3,        • Team and player management,item,label,Team and player management,
tournament/b1/i0/cap,4,"            · Swap or eject teams mid-tournament. In scramble competitions, add or pause players without breaking the queue.",item,cap,"Swap or eject teams mid-tournament. In scramble competitions, add or pause players without breaking the queue.",
tournament/b1/i1/label,3,        • Start serving suggestions,item,label,Start serving suggestions,
tournament/b1/i1/cap,4,            · TournaQ fairly suggests who serves first in every game across the tournament.,item,cap,TournaQ fairly suggests who serves first in every game across the tournament.,
tournament/b1/i2/label,3,        • Referee suggestions,item,label,Referee suggestions,
tournament/b1/i2/cap,4,"            · And who referees, drawn fairly from whoever is free.",item,cap,"And who referees, drawn fairly from whoever is free.",
tournament/b2/badge,2,    ▸ Panel: Keeping control,panel,badge,Keeping control,
tournament/b2/sub,3,        · Unterzeile,panel,sub,Nothing is locked in once it starts.,
tournament/b2/i0/label,3,        • Tournament overview,item,label,Tournament overview,
tournament/b2/i0/cap,4,            · The whole state on one screen. Adjust settings where you need to.,item,cap,The whole state on one screen. Adjust settings where you need to.,
tournament/b2/i1/label,3,        • Scorecards with context,item,label,Scorecards with context,
tournament/b2/i1/cap,4,            · Every game carries its own scorecard with the tournament data already on it.,item,cap,Every game carries its own scorecard with the tournament data already on it.,
tournament/b3/badge,2,    ▸ Panel: Afterwards,panel,badge,Afterwards,
tournament/b3/sub,3,        · Unterzeile,panel,sub,What the session leaves behind.,
tournament/b3/i0/label,3,        • Scorecard sharing,item,label,Scorecard sharing,
tournament/b3/i0/cap,4,"            · Hand scorecards to other devices and collect the results back. Paperless, and it works offline.",item,cap,"Hand scorecards to other devices and collect the results back. Paperless, and it works offline.",
tournament/b3/i1/label,3,        • Copy tournament,item,label,Copy tournament,
tournament/b3/i1/cap,4,"            · Same people, same settings, new session.",item,cap,"Same people, same settings, new session.",
tournament/b3/i2/label,3,        • XLS export,item,label,XLS export,
tournament/b3/i2/cap,4,"            · The full data set, out of the app, for whatever you do with it next.",item,cap,"The full data set, out of the app, for whatever you do with it next.",
tournament/b3/i3/label,3,        • XLS results import,item,label,XLS results import,
tournament/b3/i3/cap,4,            · Or track results in the exported sheet and read them back in.,item,cap,Or track results in the exported sheet and read them back in.,
tournament/b4/title,2,    ▸ Box: Built to work without signal,fbox,title,Built to work without signal,
tournament/b4/body,3,        · Fließtext,fbox,body,"Courts are outdoors and the wifi is somebody else’s problem. Scheduling, scoring and sharing all work with no connection at all.",
scorecards/title,1,Scorecards,page,title,Scorecards,
scorecards/eyebrow,2,    · Eyebrow,page,eyebrow,Step 5,
scorecards/h1,2,    · Überschrift,page,h1,Scorecards,
scorecards/lead,2,    · Lead,page,lead,"Where every path lands. Three of them, because a bracket final, a timed scramble round and a king-of-the-court stint do not need the same controls.",
scorecards/b0,2,    ▸ Karten-Grid,grid,grid,(3 Karten),
scorecards/b0/c0/label,3,        • Classic scorecard,card,label,Classic scorecard,
scorecards/b0/c0/cap,4,"            · Sets, target points, side switches. For bracket modes and Quick Game.",card,cap,"Sets, target points, side switches. For bracket modes and Quick Game.",
scorecards/b0/c1/label,3,        • Scramble scorecard,card,label,Scramble scorecard,
scorecards/b0/c1/cap,4,            · Timed rounds instead of sets. For Social Scramble and Scramble King.,card,cap,Timed rounds instead of sets. For Social Scramble and Scramble King.,
scorecards/b0/c2/label,3,        • Queue scorecard,card,label,Queue scorecard,
scorecards/b0/c2/cap,4,            · The court plus who is waiting. For King of the Court and Doghouse.,card,cap,The court plus who is waiting. For King of the Court and Doghouse.,
scorecards/b1/title,2,    ▸ Box: And one way to hand them over,fbox,title,And one way to hand them over,
scorecards/b1/body,3,        · Fließtext,fbox,body,Any scorecard can leave your device and come back with a result on it.,
scorecards/b1/l0/title,3,        • Exported scorecard,fbox-line,title,Exported scorecard,
scorecards/b1/l0/body,4,            · Let somebody else run the game on their own phone,fbox-line,body,Let somebody else run the game on their own phone,
sc-classic/title,1,Classic Scorecard,page,title,Classic Scorecard,
sc-classic/eyebrow,2,    · Eyebrow,page,eyebrow,Scorecard,
sc-classic/h1,2,    · Überschrift,page,h1,Classic scorecard,
sc-classic/lead,2,    · Lead,page,lead,"The full match scorecard: sets, target points and side switches, for every mode where two fixed teams play a match out.",
sc-classic/b0/badge,2,    ▸ Panel: What it does,panel,badge,What it does,
sc-classic/b0/i0/label,3,        • Points match history,item,label,Points match history,
sc-classic/b0/i0/cap,4,            · Counts and shows every point made by either team during their service.,item,cap,Counts and shows every point made by either team during their service.,
sc-classic/b0/i1/label,3,        • Serving change automation,item,label,Serving change automation,
sc-classic/b0/i1/cap,4,"            · Tells you whose serve it is, at any moment.",item,cap,"Tells you whose serve it is, at any moment.",
sc-classic/b0/i2/label,3,        • Variable target sets,item,label,Variable target sets,
sc-classic/b0/i2/cap,4,"            · 1, 3, 5 or any custom number of sets to win.",item,cap,"1, 3, 5 or any custom number of sets to win.",
sc-classic/b0/i3/label,3,        • Variable target points,item,label,Variable target points,
sc-classic/b0/i3/cap,4,"            · 15, 18, 21 or your own number — win by two.",item,cap,"15, 18, 21 or your own number — win by two.",
sc-classic/b0/i4/label,3,        • Side switch automation,item,label,Side switch automation,
sc-classic/b0/i4/cap,4,"            · Reminds you to change ends and swaps the counter with you, so nobody loses track.",item,cap,"Reminds you to change ends and swaps the counter with you, so nobody loses track.",
sc-classic/b0/i5/label,3,        • Gesture side switch,item,label,Gesture side switch,
sc-classic/b0/i5/cap,4,            · Or turn the automation off and swap sides yourself with a gesture.,item,cap,Or turn the automation off and swap sides yourself with a gesture.,
sc-classic/b1/title,2,    ▸ Box: Used by,fbox,title,Used by,
sc-classic/b1/body,3,        · Fließtext,fbox,body,"League, Single and Double Elimination, TournaQ Classic, Swiss System — and Quick Game.",
sc-scramble/title,1,Scramble Scorecard,page,title,Scramble Scorecard,
sc-scramble/eyebrow,2,    · Eyebrow,page,eyebrow,Scorecard,
sc-scramble/h1,2,    · Überschrift,page,h1,Scramble scorecard,
sc-scramble/lead,2,    · Lead,page,lead,"The same counting, on a clock. Scramble rounds end when time runs out, not when somebody reaches a number — so sets and target points come off the card.",
sc-scramble/b0/badge,2,    ▸ Panel: What it does,panel,badge,What it does,
sc-scramble/b0/i0/label,3,        • Points match history,item,label,Points match history,
sc-scramble/b0/i0/cap,4,            · Counts and shows every point made by either team during their service.,item,cap,Counts and shows every point made by either team during their service.,
sc-scramble/b0/i1/label,3,        • Serving change automation,item,label,Serving change automation,
sc-scramble/b0/i1/cap,4,"            · Tells you whose serve it is, at any moment.",item,cap,"Tells you whose serve it is, at any moment.",
sc-scramble/b0/i2/label,3,        • Gesture side switch,item,label,Gesture side switch,
sc-scramble/b0/i2/cap,4,"            · Swap sides yourself, with a gesture, whenever you want.",item,cap,"Swap sides yourself, with a gesture, whenever you want.",
sc-scramble/b0/i3/label,3,        • Game timer,item,label,Game timer,
sc-scramble/b0/i3/cap,4,"            · The round runs to a hard time limit. When it ends, everyone regroups.",item,cap,"The round runs to a hard time limit. When it ends, everyone regroups.",
sc-scramble/b1/title,2,    ▸ Box: Why the timer decides,fbox,title,Why the timer decides,
sc-scramble/b1/body,3,        · Fließtext,fbox,body,"Every court has to finish together, or the next scramble cannot be drawn. The clock keeps the whole session in step.",
sc-scramble/b2/title,2,    ▸ Box: Used by,fbox,title,Used by,
sc-scramble/b2/body,3,        · Fließtext,fbox,body,Social Scramble and Scramble King.,
sc-queue/title,1,Queue Scorecard,page,title,Queue Scorecard,
sc-queue/eyebrow,2,    · Eyebrow,page,eyebrow,Scorecard,
sc-queue/h1,2,    · Überschrift,page,h1,Queue scorecard,
sc-queue/lead,2,    · Lead,page,lead,"Half scorecard, half waiting list. It shows the court and the queue behind it, because in queue modes the next players matter as much as the current score.",
sc-queue/b0/badge,2,    ▸ Panel: What it does,panel,badge,What it does,
sc-queue/b0/i0/label,3,"        • The queue, live",item,label,"The queue, live",
sc-queue/b0/i0/cap,4,"            · Who is on, who is admin, when the handover is, and who is up next to challenge — laid out to match the assignment mode you chose.",item,cap,"Who is on, who is admin, when the handover is, and who is up next to challenge — laid out to match the assignment mode you chose.",
sc-queue/b0/i1/label,3,        • Score court points,item,label,Score court points,
sc-queue/b0/i1/cap,4,            · Count what the side on court is making.,item,cap,Count what the side on court is making.,
sc-queue/b0/i2/label,3,        • Eject challengers,item,label,Eject challengers,
sc-queue/b0/i2/cap,4,"            · Manually, or automatically once they have conceded enough.",item,cap,"Manually, or automatically once they have conceded enough.",
sc-queue/b0/i3/label,3,        • Eject court teams,item,label,Eject court teams,
sc-queue/b0/i3/cap,4,"            · Manually, or automatically when they win the game or concede too much.",item,cap,"Manually, or automatically when they win the game or concede too much.",
sc-queue/b0/i4/label,3,        • Game timer,item,label,Game timer,
sc-queue/b0/i4/cap,4,            · The round runs to a hard time limit.,item,cap,The round runs to a hard time limit.,
sc-queue/b1/title,2,    ▸ Box: Used by,fbox,title,Used by,
sc-queue/b1/body,3,        · Fließtext,fbox,body,King of the Court and Doghouse.,
exported/title,1,Exported Scorecard,page,title,Exported Scorecard,
exported/eyebrow,2,    · Eyebrow,page,eyebrow,Sharing,
exported/h1,2,    · Überschrift,page,h1,Exported scorecard,
exported/lead,2,    · Lead,page,lead,You cannot stand at four courts at once. Hand a scorecard to whoever is standing at the other three.,
exported/b0/badge,2,    ▸ Panel: How it works,panel,badge,How it works,
exported/b0/i0/label,3,        • Export the card,step,label,Export the card,
exported/b0/i0/cap,4,            · TournaQ turns the game — or a whole court — into a QR code.,step,cap,TournaQ turns the game — or a whole court — into a QR code.,
exported/b0/i1/label,3,        • They scan it,step,label,They scan it,
exported/b0/i1/cap,4,"            · On their own phone. No account, no install of your tournament, no connection needed.",step,cap,"On their own phone. No account, no install of your tournament, no connection needed.",
exported/b0/i2/label,3,        • They score the game,step,label,They score the game,
exported/b0/i2/cap,4,"            · A full scorecard on their side, with the right teams and format already on it.",step,cap,"A full scorecard on their side, with the right teams and format already on it.",
exported/b0/i3/label,3,        • You collect the result,step,label,You collect the result,
exported/b0/i3/cap,4,            · Scan it back and the result drops into your tournament.,step,cap,Scan it back and the result drops into your tournament.,
exported/b1/title,2,    ▸ Box: Paperless and offline,fbox,title,Paperless and offline,
exported/b1/body,3,        · Fließtext,fbox,body,"The whole exchange is two QR codes. Nothing goes through a server, so it works on a beach with no signal exactly as well as it does indoors.",
exported/b2/title,2,    ▸ Note: Draft note · direction of the arrow,note,title,Draft note · direction of the arrow,
exported/b2/body,3,        · Notiztext,note,body,"Your Principle diagram shows lines running <b>both ways</b> between Tournament and Exported Scorecard, which raised a question in the source notes. The draft treats that as correct and deliberate: the card goes out, the result comes back. It is a round trip, not a one-way export.",
brackets/title,1,Team Competitions,page,title,Team Competitions,
brackets/eyebrow,2,    · Eyebrow,page,eyebrow,Competition family,
brackets/h1,2,    · Überschrift,page,h1,Team Competitions,
brackets/lead,2,    · Lead,page,lead,"Classic tournament modes, where players show up with their partner and stay together all day. Four ways to decide who wins.",
brackets/b0,2,    ▸ Karten-Grid,grid,grid,(4 Karten),
brackets/b0/c0/label,3,        • League,card,label,League,
brackets/b0/c0/cap,4,            · Round robin with one or two legs. Everybody plays everybody.,card,cap,Round robin with one or two legs. Everybody plays everybody.,
brackets/b0/c1/label,3,        • Eliminations,card,label,Eliminations,
brackets/b0/c1/cap,4,            · Single or double elimination. Lose and you are out — or nearly.,card,cap,Single or double elimination. Lose and you are out — or nearly.,
brackets/b0/c2/label,3,        • TournaQ Classic,card,label,TournaQ Classic,
brackets/b0/c2/cap,4,"            · A qualification phase, then knockout tiers.",card,cap,"A qualification phase, then knockout tiers.",
brackets/b0/c3/label,3,        • Swiss System,card,label,Swiss System,
brackets/b0/c3/cap,4,            · Paired each round against someone on your score. No eliminations.,card,cap,Paired each round against someone on your score. No eliminations.,
brackets/b1/title,2,    ▸ Box: What they share,fbox,title,What they share,
brackets/b1/body,3,        · Fließtext,fbox,body,"Fixed teams, a full schedule, and the classic scorecard. Set them up once and TournaQ handles the rest.",
brackets/b1/l0/title,3,        • Scheduled into time slots,fbox-line,title,Scheduled into time slots,
brackets/b1/l0/body,4,            · Every game has a place in the day,fbox-line,body,Every game has a place in the day,
brackets/b1/l1/title,3,        • Court allocation,fbox-line,title,Court allocation,
brackets/b1/l1/body,4,            · Games spread across whatever courts you have,fbox-line,body,Games spread across whatever courts you have,
brackets/b1/l2/title,3,        • Teams stay together,fbox-line,title,Teams stay together,
brackets/b1/l2/body,4,            · Pull them from Administration or build them at setup,fbox-line,body,Pull them from Administration or build them at setup,
m-league/title,1,League,page,title,League,
m-league/eyebrow,2,    · Eyebrow,page,eyebrow,Team competition,
m-league/h1,2,    · Überschrift,page,h1,League,
m-league/lead,2,    · Lead,page,lead,"Round-robin standings across a full season of fixtures, with one or two legs. Everybody plays everybody, and the table decides it.",
m-league/b0/badge,2,    ▸ Panel: How it runs,panel,badge,How it runs,
m-league/b0/i0/label,3,        • Teams enter,step,label,Teams enter,
m-league/b0/i0/cap,4,"            · Fixed pairs, straight from Administration or built at setup.",step,cap,"Fixed pairs, straight from Administration or built at setup.",
m-league/b0/i1/label,3,        • Fixtures generated,step,label,Fixtures generated,
m-league/b0/i1/cap,4,"            · Every team against every other. Twice, if you pick two legs.",step,cap,"Every team against every other. Twice, if you pick two legs.",
m-league/b0/i2/label,3,        • Packed into slots,step,label,Packed into slots,
m-league/b0/i2/cap,4,"            · Fixtures fill time slots under each round, across your courts.",step,cap,"Fixtures fill time slots under each round, across your courts.",
m-league/b0/i3/label,3,        • The table decides,step,label,The table decides,
m-league/b0/i3/cap,4,"            · Points, wins and goal difference.",step,cap,"Points, wins and goal difference.",
m-league/b1/title,2,    ▸ Box: Timing stays honest mid-session,fbox,title,Timing stays honest mid-session,
