Seite,Abschnitt,Element,Beschriftung in der App,Aktion,Bearbeitbar hier?,Bedingung / Sperrgrund,Wofür
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,teams,"""{count} teams""",öffnet das Roster,"Navigation, im Sheet bearbeitbar",Withdraw im laufenden Turnier,Roster pflegen
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,teamSize,"""2v2""",keine,nein — Feststellung,—,Mannschaftsgröße
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,courts,"""{count} courts""",öffnet das Court-Sheet,ja,"Swiss misst „was noch kommt“ in geplanten Slots, auch für noch nicht gezogene Runden",Courts ändern
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,referees,"""Refs covered"" / ""{gap} without a ref""",öffnet die Schiri-Deckung,ja,ab der nächsten ungespielten Einheit,Schiri-Deckung
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,seeding,"""Random""",keine,nein — Feststellung,—,Wie Runde 1 gezogen wurde
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,rounds,"""Round {round} of {total}""",keine,nein — Feststellung,—,Fortschritt durch die feste Rundenzahl
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,reroll,"""Reroll round 1""",zieht Runde 1 neu,nur solange Runde 1 unberührt ist,Danach `drawStarted`. Nur die erste Runde ist eine Auslosung — alle weiteren folgen aus Ergebnissen,Erste Paarung neu würfeln
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,drawAdjust,"""Adjust draw""",öffnet den Tauschdialog,nur solange Runde 1 unberührt ist,wie Reroll,Zwei Teams tauschen
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,byes,"""{count} byes""",öffnet die Liste,nein — Feststellung,Ein ungerades Feld setzt jede Runde ein Team aus; das rotiert,Wer schon ausgesetzt hat
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,walkovers,"""{count} walkovers""",öffnet die Liste,nein — Feststellung,Bei 0 nicht tippbar,Rückzüge
"1 · Die Pills, Modus für Modus",1.4 Swiss System — `lib/pages/swiss_rounds_page.dart`,estFinish,"""Ends {time}""",öffnet die Zeitleiste,Navigation,—,Voraussichtliches Ende
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,standings,"""Standings""",öffnet die Tabelle,Navigation,—,Der Stand
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,allocation,"""Allocation""",öffnet das Courtraster,Navigation,"Bewusst eine zweite Pill neben der Court-Zahl: die sagt *wie viele*, diese *was jeder tut*",Was auf welchem Court läuft
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,teams,"""Teams""",öffnet das Sheet,Navigation,—,Die Paarungen dieser Runde
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,players,"""{count} players""",öffnet das Roster,"Navigation, im Sheet bearbeitbar","Auf einer Mehr-Court-Session gehört die Roster-Änderung auf die Turnierseite, nicht auf eine Scorecard","Nachmelden, Pause, Austauschen"
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,teamSize,"""{n}v{n}""",öffnet die Einstellungen,"ja, bis eine Runde festgezogen ist",Danach gesperrt — die Auslosung ist bereits gegen diese Größe gebaut,Mannschaftsgröße
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,rounds,"""{count} rounds""",öffnet die Einstellungen,ja,—,Rundenzahl
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,courts,"""{count} courts""",öffnet die Einstellungen,ja,—,Courts
"1 · Die Pills, Modus für Modus",1.5 Social Scramble — `lib/pages/scramble_overview_page.dart`,estFinish,Ende laut Zeitplan,öffnet die Schedule Preview,Navigation,—,Voraussichtliches Ende
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,standings,"""Standings""",öffnet die Ranking-Seite,Navigation,Dort ist auch die Ranking-Methode noch änderbar,Gesamtwertung
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,allocation,"""Allocation""",öffnet die Court-Seite,Navigation,—,Was jeder Court tut
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,teams,"""Teams""",öffnet das Sheet,Navigation,—,Aktuell gebildete Teams
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,players,"""{count} players""",öffnet das Roster,"Navigation, im Sheet bearbeitbar",—,"Nachmelden, Pause, Austauschen"
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,teamSize,"""{n}v{n}""",öffnet den Editor,ja,Zieht nur ungespielte Runden neu; ein bereits gestartetes Turnier fragt vorher nach,Seitengröße
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,rounds,"""{count} rounds""",Format-Sheet,ja,—,Rundenzahl
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,courts,"""{count} courts""",Format-Sheet,ja,—,Courts
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,targetPoints,"""{n} pt strike""",Format-Sheet,ja,"Nur sichtbar, wenn Strike Points > 0",Punkte zum Sieg auf dem Court
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,challengerAutoEject,"""Auto-eject @ {n}"" bzw. ""Auto-eject off""",Format-Sheet,ja,"Immer sichtbar — „aus“ ist genau der Zustand, den man vor dem Start kennen will",Herausforderer früh ablösen
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,oddPlayerMode,"""Placeholder"" / ""Jumper""",Format-Sheet,ja,—,Partner für den überzähligen Spieler
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,assignmentMode,"""Manual"" / ""Automated"" / ""Auto-Allplay""",Format-Sheet,ja,—,Wie das nächste Team auf den Court kommt
"1 · Die Pills, Modus für Modus",1.6 Royal Rotation (App: Scramble King) — `lib/pages/scramble_king_overview_page.dart`,estFinish,"""Est. finish: {time}"" bzw. ""Finished: {time}""",öffnet die Zeitleiste,Navigation,"Die Schätzung ist abgeleitet, aber Startzeit und Runden-/Pausenlängen sind es nicht",Voraussichtliches Ende
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,standings,"""Standings""",öffnet die Ranking-Seite,Navigation,—,Gesamtwertung
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,allocation,"""Allocation""",öffnet die Court-Seite,Navigation,—,Was jeder Court tut
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,players,"""{count} players""",öffnet das Roster,"Navigation, im Sheet bearbeitbar",—,"Nachmelden, Pause, Austauschen"
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,teamSize,"""{n}v{n}""",keine,nein — Feststellung,"Im Setup gewählt und für das Event fix: jede Runde ist bereits dagegen gebildet, es gibt nichts, hinein zu bearbeiten",Seitengröße
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,rounds,"""{count} rounds""",Format-Sheet,ja,—,Rundenzahl
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,courts,"""{count} courts""",Format-Sheet,ja,—,Courts
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,targetPoints,"""{n} pt strike""",Format-Sheet,ja,"Nur sichtbar, wenn Strike Points > 0",Punkte zum Sieg
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,challengerAutoEject,"""Auto-eject @ {n}"" / ""Auto-eject off""",Format-Sheet,ja,Immer sichtbar,Herausforderer früh ablösen
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,assignmentMode,"""Manual"" / ""Automated"" / ""Auto-Allplay""",Format-Sheet,ja,—,Teamzuteilung
"1 · Die Pills, Modus für Modus",1.7 King of the Court — `lib/pages/kotc_queue_overview_page.dart`,estFinish,"""Est. finish: {time}"" / ""Finished: {time}""",öffnet die Zeitleiste,Navigation,—,Voraussichtliches Ende
"1 · Die Pills, Modus für Modus",1.8 Royal Shuffle (App: Doghouse) — `lib/pages/doghouse_queue_overview_page.dart`,escapePoints,"""{count} pt escape""",Format-Sheet,ja,"Nur sichtbar, wenn Escape Points > 0","Punkte, um aus dem Doghouse zu kommen"
"1 · Die Pills, Modus für Modus",1.8 Royal Shuffle (App: Doghouse) — `lib/pages/doghouse_queue_overview_page.dart`,lossLimit,"""{count} loss limit""",Format-Sheet,ja,"Nur sichtbar, wenn ein Limit gesetzt ist",Wie lange ein Team feststecken darf
2 · Was die Seite außerhalb der Pills kann,,Element: Umbenennen,"Wo: Titelzeile, Tipp auf den Namen unter dem Modus","Was es tut: Öffnet ""Rename tournament""","Bedingung: Kein Schloss, keine Rückfrage, von jeder Oberfläche aus. Der Name ist die einzige Einstellung, an der nichts hängt — kein Spielplan, keine Tabelle, keine Auslosung. Nur eine importierte Scorecard unterdrückt sie, dort gehört der Name dem fremden Event",,
2 · Was die Seite außerhalb der Pills kann,,Element: Export / Import,"Wo: Scanner-Icon in der Titelzeile, Tooltip ""Export / Import""",Was es tut: Menü mit drei Einträgen,"Bedingung: Beide Wege liegen hinter demselben Icon, weil sie dieselbe Besorgung in zwei Größen sind: ein Court per QR, oder das ganze Event als Workbook",,
2 · Was die Seite außerhalb der Pills kann,,"Element: — ""Import result""",Wo: ebenda und im Menü jeder Partie,Was es tut: Scannt ein Ergebnis-QR vom Schiri-Gerät,"Bedingung: Der Code trägt seine eigene Match-ID, ein Scanner reicht also für das ganze Turnier. Fehltexte: ""This QR code is not a result."" · ""This result is for a different tournament.""",,
2 · Was die Seite außerhalb der Pills kann,,"Element: — ""Export tournament""",Wo: Menü,Was es tut: Baut das Excel-Workbook und gibt es an das Share-Sheet,"Bedingung: ""There is nothing to export yet."", solange es nichts gibt",,
2 · Was die Seite außerhalb der Pills kann,,"Element: — ""Import tournament""",Wo: Menü,Was es tut: Liest ein Workbook zurück,"Bedingung: Vorschau vor dem Anwenden: ""{applied} recorded · {cleared} cleared · {skipped} skipped"". Ab 5 überschriebenen Ergebnissen — oder wenn die Datei mindestens die Hälfte überschreibt — wird ein zweites Mal gefragt (""Replace results""). Abweisungen: falsches Turnier, falscher Modus, neuere App-Version, fehlende Spalten",,
2 · Was die Seite außerhalb der Pills kann,,"Element: ""Export game""",Wo: QR-Icon auf der Match-Karte,Was es tut: Gibt eine Partie per QR an ein Schiri-Gerät,"Bedingung: Trägt die echte Position mit (""Gold semi-final"", ""Slot 7""), damit die fremde Scorecard nicht „Final · Match 1“ behauptet. Nicht bei Walkovers und nicht, solange ein Gegner fehlt",,
2 · Was die Seite außerhalb der Pills kann,,"Element: ""Manually Set Score""",Wo: QR-Icon auf der Match-Karte,Was es tut: Endstand satzweise eintragen und die Partie abschließen,"Bedingung: In jedem Zustand verfügbar. Bei vorhandenem Ergebnis erst die Rückfrage ""Override current score?"" — ""This game already has a score. Editing it will replace the current result."" Hilfetext: ""Use this when the game was played without live scoring. Enter the final score for both sides and complete the game.""",,
3 · Die Sheets hinter den Pills,,Sheet: Teams,Datei: `sheets/bracket_teams_sheet.dart`,"Was darin geht: Team bearbeiten, gegen ein anderes tauschen, zurückziehen","Grenzen: Bearbeiten und Tauschen nur, wenn die Seite die Roster-Hooks mitgibt; Withdraw nur im laufenden Turnier. Ein abgeschlossenes Event lässt Withdraw von selbst weg — es gibt keinen Restspielplan mehr",,
3 · Die Sheets hinter den Pills,,Sheet: Players,Datei: `sheets/scramble_roster_editor.dart` (und die Queue-Geschwister),"Was darin geht: Nachmelden, Pause, Austauschen, bearbeiten","Grenzen: Nachmelden zieht alle ungespielten Runden neu: ""{name} will join as a late entry. Remaining pairings will be reshuffled — some players may end up with an unequal number of games."" Pause bleibt auch dort verfügbar, wo Roster-Änderungen gesperrt sind — sie zieht nichts neu",,
3 · Die Sheets hinter den Pills,,Sheet: Pause,Datei: `sheets/player_break_dialog.dart`,"Was darin geht: Zwei Fragen: wie lange (nur diese Runde / bis auf Weiteres), und was mit dem Platz passiert (offen halten oder aus der Queue nachbesetzen)","Grenzen: Die zweite Frage nur, wenn der Platz gerade auf dem Court ist",,
3 · Die Sheets hinter den Pills,,Sheet: Courts,Datei: `sheets/court_count_sheet.dart`,Was darin geht: Anzahl und Court-Namen,"Grenzen: Anzahl bis 32 (Schnellwahl bis 8), eingefroren sobald nichts mehr umzuplanen ist, nie unter einen Court mit laufendem Match. Umbenennen bleibt immer möglich",,
3 · Die Sheets hinter den Pills,,Sheet: Referees,Datei: `sheets/referee_coverage_sheet.dart`,Was darin geht: Deckung mitten im Turnier umstellen,"Grenzen: ""Applies from {unit} — what has been played keeps its courts and times.""",,
3 · Die Sheets hinter den Pills,,Sheet: Bracket generation,Datei: `sheets/generation_sheet.dart`,"Was darin geht: Seeding plus die modeeigene zweite Wahl (Odd Teams, Legs)","Grenzen: Entwurf, nicht live — nichts wird vor ""Save"" angewendet: ""Regenerates the bracket. Available only before the first match starts.""",,
3 · Die Sheets hinter den Pills,,Sheet: Adjust draw,Datei: `sheets/draw_adjust_sheet.dart`,Was darin geht: Team von Hand setzen,"Grenzen: Immer ein Tausch. ""Swap {team} with…"" · ""That place is taken. Pick who moves the other way.""",,
3 · Die Sheets hinter den Pills,,Sheet: Byes / Walkovers,Datei: `sheets/auto_decided_sheet.dart`,Was darin geht: Die ohne Court entschiedenen Partien ansehen,Grenzen: Reine Liste,,
3 · Die Sheets hinter den Pills,,Sheet: Schedule preview,Datei: `sheets/schedule_preview_sheet.dart`,Was darin geht: Zeitleiste plus Pace-alerts-Schalter,Grenzen: Der Zeitplan selbst ist pro Modus,,
3 · Die Sheets hinter den Pills,,Sheet: Court allocation,Datei: `pages/courts_page.dart`,"Was darin geht: Partie halten und auf einen anderen Court ziehen, Slot-Format einzeln setzen, Pausen setzen, Court-Plan auflegen","Grenzen: ""Tap a match for its full card · hold to move it to another court."" · Plan-Optionen: ""One court per group"", ""One court per tier"", ""Maximise court use"", ""Allow backfilling"". Warnt, wenn die Courts für eine saubere Teilung nicht reichen",,
