Seite,Abschnitt,Bedienelement,Was es tut,Wann sichtbar / Bedingung,Text in der App (wörtlich)
3 · Queue Scorecard,,Court starten / beenden,"Startet den Court, schließt ihn ab, macht das rückgängig",Unten auf der Karte,"""Start Court"" · ""Finish court"" · ""Finish this court?"" · ""Record this court's results now and end its round."" · ""Undo Finish"" · ""This court's round is complete"""
3 · Queue Scorecard,,QR-Menü,Ganzen Court weitergeben oder Ergebnisse von Hand setzen,Solange der Court live ist,"""Export court"" / ""Export result"" · ""Manually Set Score"""
3 · Queue Scorecard,,Tabelle unter der Karte,"Wins, Punkte und Ranking-Punkte je Spieler bzw. Team auf diesem Court",Immer,"""Wins"" · ""Pts"" · ""RP"" · Royal Rotation zusätzlich ""Teams"" und ""Games"""
3 · Queue Scorecard,,Pill-Row,"Dieselben Pills wie die Turnierseite, plus Runde und Court","Format-Pills nur auf einer Ein-Court-Session bearbeitbar, sonst gesperrt","""Round {n}"" · ""Court {n}"""
3 · Queue Scorecard,3.1 Was pro Modus dazukommt,Modus: King of the Court,Besonderheit: Strike Points beenden den Halt,"Text in der App (wörtlich): ""{n} pt strike"" · ""Auto-eject @ {n}"" / ""Auto-eject off""",
3 · Queue Scorecard,3.1 Was pro Modus dazukommt,Modus: Royal Shuffle,Besonderheit: Zwei Schwellen statt einer: Entkommen und Verlustgrenze,"Text in der App (wörtlich): ""{count} pt escape"" · ""{count} loss limit""",
3 · Queue Scorecard,3.1 Was pro Modus dazukommt,Modus: Royal Rotation,"Besonderheit: Paare statt Einzelspieler in der Schlange, dazu ein Partnerwähler für den überzähligen Spieler","Text in der App (wörtlich): ""Pick a partner for the floater"" · ""Teams"" · Odd-Player-Modus ""Placeholder"" / ""Jumper""",
4 · Die geliehene Karte,,Speicherung,"Alles bleibt auf dem fremden Gerät, bis das Ergebnis-QR zurückgescannt wird — der Host-Speicher wird nie berührt",Immer,—
4 · Die geliehene Karte,,"""Export result""","Tritt an die Stelle von ""Export scorecard"" und verweigert vorzeitig",Erst nach Abschluss,"""Export result"" · ""Finish the match before exporting the result."""
4 · Die geliehene Karte,,Echte Position,"Die Karte trägt die Runde des Hosts, nicht die des empfangenden Geräts",Unter dem Titel,"z. B. ""Quarter-final · Match 3"" statt ""Final · Match 1"""
4 · Die geliehene Karte,,Read-only Event,Name und Roster gehören dem Host und werden nur genannt; jede andere Einstellung ist gesperrt,Pill-Row,"""Not from here"" · ""This belongs to the tournament, not to one game."""
4 · Die geliehene Karte,,Eingefrorene Vorschau,Die Upcoming-Liste ist ein Stand vom Moment des Teilens,Scramble- und Queue-Karten,"""Snapshot from when this was shared — the schedule may have changed since."" · ""For other games, see the host device."""
4 · Die geliehene Karte,,Rückweg,"Kein Spielplan darunter, also zurück zum Hub",Unten auf der Karte,"""Back to Hub"""
4 · Die geliehene Karte,,Rückscannen beim Host,"Das Ergebnis landet auf der richtigen Partie, weil der Code seine Match-ID trägt",Turnierseite,"""Result imported."" · ""This QR code is not a result."" · ""This result is for a different tournament."""
