Seite,Abschnitt,Einstellung,Werte / Presets,Default,Grenzen,Bedingungen & Warnungen,Wofür,Hilfetext in der App (wörtlich)
0 · Was auf jeder Setup-Seite gleich ist,0.2 Game format sheet (`lib/widgets/game_format_sheet.dart`),Side change,"""Off"", 5, 7, ""Custom…""",5,ab 1,"""Off"" schaltet den Seitenwechsel ganz ab",Seitenwechsel alle n Punkte,—
0 · Was auf jeder Setup-Seite gleich ist,0.2 Game format sheet (`lib/widgets/game_format_sheet.dart`),Notify at target score,Schalter,an,—,—,"Fragt beim Erreichen der Zielpunktzahl nach, ob das Spiel endet","""Prompt to finish when a side reaches the target"""
0 · Was auf jeder Setup-Seite gleich ist,0.2 Game format sheet (`lib/widgets/game_format_sheet.dart`),Use the default,Button,—,—,"nur beim Bearbeiten einer einzelnen Runde und nur, solange sie abweicht",Override wieder auf den Turnier-Default zurücksetzen,—
0 · Was auf jeder Setup-Seite gleich ist,0.3 Game pace sheet,Seconds per point,"""Fast · 45s"", ""Standard · 60s"", ""Relaxed · 80s"", ""Custom…""",Standard · 60 s,ab 5 s,"zeigt darunter ""about {minutes} min a game""",Einzige freie Variable in einem Punkte-Ziel-Zeitplan,"""How long a rally takes on average. Drives every time estimate for this tournament."""
0 · Was auf jeder Setup-Seite gleich ist,0.4 Pace alerts,Pace alerts,Schalter,aus,—,auf allen acht Seiten vorhanden,"Markiert Runden im laufenden Turnier als pünktlich, fällig oder überfällig","""Flag rounds as on track, due, or overdue"""
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Roster-Kachel,"Werte / Presets: ""Tap to add teams"" / ""Tap to add players"" bzw. ""{count}/{target} … added""",Default: leer,Grenzen: —,Bedingungen & Warnungen: —,Wofür: Bereitschaftsanzeige der Seite,Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Create Player / Create Team,"Werte / Presets: Name eingeben, ""Add""",Default: —,Grenzen: —,"Bedingungen & Warnungen: doppelter Name fragt nach: ""{name} is already added to this tournament. Add anyway?""","Wofür: Teilnehmer anlegen, die noch nicht in der Administration stehen",Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Add Existing,"Werte / Presets: Liste aus der Administration, Gruppen-Chips, Suche, ""Add all ({count})""",Default: —,Grenzen: —,"Bedingungen & Warnungen: Bracket-Modi zeigen nur Teams, die exakt das gewählte Format besetzen (`userIds.length == playersPerSide`); Gruppen-Chips erscheinen nur für Gruppen mit passenden Einträgen",Wofür: Bestehende Spieler und Teams übernehmen,Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Fill {count} random,Werte / Presets: Button,Default: —,Grenzen: —,Bedingungen & Warnungen: nur Player-Pool-Modi; füllt auf die Zielanzahl auf,Wofür: Testlauf oder spontane Session ohne Namensliste,Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Clear all,Werte / Presets: Button mit Rückfrage,Default: —,Grenzen: —,"Bedingungen & Warnungen: ""This will remove all added players from the list.""",Wofür: Roster zurücksetzen,Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.5 Roster — Teams bzw. Players,Element: Confirm,Werte / Presets: Bestätigungsleiste,Default: —,Grenzen: —,"Bedingungen & Warnungen: Bei Abweichung: ""You added {selected} teams, but the setup is planned for {target}. Adjusting updates the bracket, seeding and schedule — keep {target} if you'd rather review the line-up first."" Liegt die Zahl außerhalb der Grenzen: ""The player count runs from {min} to {max}, so it can't be set to {selected}.""",Wofür: Geplante Anzahl der tatsächlichen Aufstellung angleichen,Hilfetext in der App (wörtlich): —
0 · Was auf jeder Setup-Seite gleich ist,0.6 Name und Create,Tournament Name,Freitext plus Würfel-Button,zufälliger Name passend zum Modus,darf nicht leer sein,—,Name im Arena-Überblick und auf der Scorecard,"""Suggest a name"""
0 · Was auf jeder Setup-Seite gleich ist,0.6 Name und Create,Create Tournament,Button,deaktiviert,—,"Statuszeile darüber: ""Ready to start!"" / ""Setup looks good!"" bzw. ""Add all {count} teams to continue"" / ""Setup incomplete""",Legt das Turnier an,—
1 · Setting up a League,1.1 Tournament Setup,Teams,"Zahlenfeld, Presets 4, 6, 8, 10, 12, 16",8,2 bis 64,"Wird die Zahl unter die Anzahl bereits hinzugefügter Teams gesenkt, wird das Roster gekürzt","Feldgröße; daraus folgen Spielplan, Runden und Dauer",—
1 · Setting up a League,1.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1 bis 6",2,1 bis 32,"Warnung, sobald mehr Felder als Teams ÷ 2: ""Only {usable} courts can be used with {teams} teams — every team plays once per slot.""",Wie viele Partien gleichzeitig laufen,—
1 · Setting up a League,1.1 Tournament Setup,Referees,"""Fill every court"" / ""Keep a referee free""",Fill every court,—,"""Keep a referee free"" ist nur wählbar, wenn das Feld nicht alle Plätze besetzen kann (oder die Option bereits gesetzt ist). Fußnote bei Unterdeckung: ""{gap} matches per round starts without a referee: {teams} teams cover {ceiling} courts at once, not {courts}."" plus ""Reserving covers them all and adds about {time}.""",Ob Schiedsrichter aus dem Feld gestellt werden oder Partien unbesetzt laufen,"""Fill every court — Games run on every available court. There may be no free player left to referee — assign one by hand, or let the teams manage the game themselves."" · ""Keep a referee free — Makes sure every game has a referee from the player pool. Only available once every court is filled and too few players sit out — matches wait so someone is free to referee, which makes the tournament longer."""
1 · Setting up a League,1.1 Tournament Setup,Style,1vs1 bis 6vs6,2vs2,1 bis 6 je Seite,"Beim Wechsel werden bestehende Teams auf die neue Größe gebracht, fehlende Plätze heißen ""Player n""",Mannschaftsgröße je Seite,—
1 · Setting up a League,1.1 Tournament Setup,Legs,"""Single"" / ""Double""",Single,—,—,Ob jede Paarung einmal oder zweimal gespielt wird,"""Single — Every pair of teams meets exactly once. The shortest format — ideal for a single session."" (Beispiel: ""Example (6 teams): 5 rounds of 3 matches — 15 matches in total."") · ""Double — Every pair meets twice, the second time with the sides reversed. Twice the rounds, and a fairer table."" (Beispiel: ""Example (6 teams): 10 rounds of 3 matches — 30 matches in total."") · ""Odd teams — With an odd number of teams, one team sits out each round. The bye rotates, so everyone sits out equally often."" (Beispiel: ""Example (7 teams): 7 rounds of 3 matches, each team resting once."")"
1 · Setting up a League,1.1 Tournament Setup,Generation,"""Random"" / ""Seeded""",Random,—,"""Seeded"" ist ausgegraut und nicht wählbar (noch nicht ausgeliefert)",Wie die Reihenfolge der Paarungen zustande kommt,—
1 · Setting up a League,1.1 Tournament Setup,Back-to-back,"""Never"" / ""Up to 2"" / ""No limit""",Up to 2,—,Der Hilfetext zeigt zu jeder Option die konkrete Slot-Zahl der aktuellen Konfiguration,Wie hart der Spielplan die Felder packt — Erholung gegen Gesamtdauer,"""Never — Every team gets a slot off between matches. Kindest on players, but the longest schedule."" · ""Up to 2 — A team plays at most two slots in a row before resting. Balances a full set of courts against recovery."" · ""No limit — Pack the courts as tightly as the fixtures allow. The shortest day, but a team can play many matches in a row."""
2 · Setting up an Elimination,2.1 Tournament Setup,Teams,"Zahlenfeld, Presets 4, 6, 8, 10, 12, 16",8,2 bis 64,"Roster wird gekürzt, wenn die Zahl sinkt",Feldgröße; entscheidet über Bracket-Größe und Freilose,—
2 · Setting up an Elimination,2.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1 bis 6",2,1 bis 32,—,Wie viele Partien gleichzeitig laufen,—
2 · Setting up an Elimination,2.1 Tournament Setup,Referees,"""Fill every court"" / ""Keep a referee free""",Fill every court,—,wie bei League (siehe 1.1),Schiedsrichterdeckung aus dem Teilnehmerfeld,wie bei League (siehe 1.1)
2 · Setting up an Elimination,2.1 Tournament Setup,Style,1vs1 bis 6vs6,2vs2,1 bis 6 je Seite,—,Mannschaftsgröße je Seite,—
2 · Setting up an Elimination,2.1 Tournament Setup,Format,"""Single Elimination"" / ""Double Elimination""",Single Elimination,—,"Steuert, welche Felder darunter erscheinen",Ob eine Niederlage ausscheidet oder erst die zweite,"""Single elimination: lose once and you're out. Shortest format, fixed finish time. Double elimination: winners and losers brackets — you need two losses to be eliminated. Roughly twice the matches. On eight teams: 7 matches single, 14 double."""
2 · Setting up an Elimination,2.1 Tournament Setup,Generation,"""Random"" / ""Seeded""",Random,—,"""Seeded"" ausgegraut (noch nicht ausgeliefert)",Wie die Auslosung entsteht,—
2 · Setting up an Elimination,2.1 Tournament Setup,Odd Teams,"""Byes"" / ""Play-in"" / ""Play-in+""",Byes,—,"nur bei Single Elimination; ""Play-in+"" ist ausgegraut","Was passiert, wenn das Feld keine Zweierpotenz ist","""Byes — Top seeds skip round 1 and wait. Weaker seeds play first. Fastest setup — ideal when you want to reward higher seedings without extra matches."" (Beispiel: ""Example (5 teams): Seeds 1–3 wait. Seeds 4 and 5 play. Winner joins the main bracket."") · ""Play-in — Bottom seeds play a preliminary round to earn their bracket spot. Nobody gets a free pass — every team has to win to advance."" (Beispiel: ""Example (5 teams): Seeds 4 and 5 play a play-in. Winner takes the last slot in the main bracket."")"
2 · Setting up an Elimination,2.1 Tournament Setup,Grand final,"""Single match"" / ""Bracket reset""",Single match,—,"nur bei Double Elimination; Fußnote ""Byes — fixed for this format"", weil Double Elimination die Odd-Team-Regel festlegt",Wie das Finale zwischen ungeschlagenem und einmal geschlagenem Team entschieden wird,"""The winners bracket champion reaches the grand final undefeated; the losers champion already has one loss. Single match: one game decides the title, whoever wins it. Bracket reset: if the losers champion wins, both sides have one loss and a decider is played. Fairer, but the finish time is not fixed."""
2 · Setting up an Elimination,2.1 Tournament Setup,Second chance,"""All rounds"" oder ""Through round {n}""",All rounds,1 bis (Hauptrunden − 1),"nur bei Double Elimination und nur, wenn das Bracket mehr als eine Hauptrunde hat",Ab welcher Runde eine Niederlage endgültig ausscheidet,"""Who drops into the losers bracket after a defeat. All rounds is true double elimination — every loss earns a second life. Capping it shortens the tournament: losers from later rounds are out straight away. On eight teams, capping at round 1 is 11 matches instead of 14."""
2 · Setting up an Elimination,2.1 Tournament Setup,Fill empty places,Schalter,an,—,nur bei Double Elimination,Vergibt freie Plätze im Losers Bracket statt Freilose,"""Give a spare losers-bracket place to the best eliminated team instead of a bye"""
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Teams,"Zahlenfeld, Presets 4, 6, 8, 10, 12, 16",8,2 bis 64,"Roster wird gekürzt, wenn die Zahl sinkt",Feldgröße; bestimmt Gruppengrößen und Qualifikantenzahl,—
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1 bis 6",2,1 bis 32,"Warnung bei mehr Feldern als nutzbar: ""Only {usable} courts can be used with {teams} teams — every team plays once per slot.""",Wie viele Partien gleichzeitig laufen,—
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Referees,"""Fill every court"" / ""Keep a referee free""",Fill every court,—,wie bei League (siehe 1.1),Schiedsrichterdeckung aus dem Teilnehmerfeld,wie bei League (siehe 1.1)
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Style,1vs1 bis 6vs6,2vs2,1 bis 6 je Seite,—,Mannschaftsgröße je Seite,—
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Legs,"""Single"" / ""Double""",Single,—,betrifft nur die Gruppenphase,Ob in der Gruppe einmal oder zweimal gegeneinander gespielt wird,"""Single — Every pair of teams meets exactly once. The shortest format — ideal for a single session."" · ""Double — Every pair meets twice, the second time with the sides reversed. Twice the rounds, and a fairer table."""
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Generation,"""Random"" / ""Seeded""",Random,—,"""Seeded"" ausgegraut (noch nicht ausgeliefert)",Wie die Gruppen ausgelost werden,—
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Groups,2 bis Teams ÷ 2,2,2 bis 8,"Auswahlliste endet bei Teams ÷ 2, höchstens 8",Einzige Größensteuerung — die Gruppengrößen folgen daraus,"""Group count is the only sizing control — sizes follow from it. 17 teams into 4 groups gives one group of 5 and three of 4. That is normal and nothing breaks, but teams in the bigger group play one more match, so when the app compares teams across groups it uses points per match rather than totals. More groups is not automatically better: it raises the number of qualifiers, which can push a tier onto a bigger bracket with more byes."""
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,One court per group,Schalter,an,—,"greift nur, wenn die Felder aufgehen; sonst wirkungslos",Gibt jeder Gruppe und später jedem Tier ein eigenes Feld,"""Give each group, and then each tier, a court of its own where the courts allow it."""
3 · Setting up a TournaQ Classic,3.1 Tournament Setup,Back-to-back,"""Never"" / ""Up to 2"" / ""No limit""",Up to 2,—,Hilfetext zeigt je Option die Slot-Zahl der aktuellen Konfiguration,Wie hart der Spielplan die Felder packt,wie bei League (siehe 1.1)
3 · Setting up a TournaQ Classic,3.2 Qualification — je Platzierung und je Tier,Ziel je Platzierung,"Tier (Gold, Silver, …) oder ""Out""","Platz 1 und 2 → Gold, alle weiteren → Out",höchstens 8 Tiers,"Es kann nur der nächste noch nicht benutzte Tier neu geöffnet werden — kein Bronze ohne Silver. Lücken werden automatisch geschlossen, Tier-Einstellungen wandern mit. Bei ungleichen Gruppen: ""only {have} of {total} groups have one""",Wer nach der Gruppenphase weiterspielt und in welchem Wettbewerb,—
3 · Setting up a TournaQ Classic,3.2 Qualification — je Platzierung und je Tier,Format je Tier,"""Single elimination"" / ""Double elimination""",Single elimination,—,pro Tier eigenständig; kein turnierweiter Schalter,"Trostrunden mehr Spiele geben, ohne die Spitze zu verlängern",—
3 · Setting up a TournaQ Classic,3.2 Qualification — je Platzierung und je Tier,Seeding je Tier,"""Cross-group"" / ""Overall rank"" / ""Random""",Cross-group,—,pro Tier eigenständig,Wie die Qualifikanten im Baum verteilt werden,"""Cross-group pairs each group winner with another group's runner-up, and keeps two teams from the same group in opposite halves so they can only meet in the final. Overall rank ranks every qualifier across all groups — on points per match, so uneven groups compare fairly — and seeds them best against worst. Random draws the qualifiers out of a hat."""
3 · Setting up a TournaQ Classic,3.2 Qualification — je Platzierung und je Tier,Break before knockout,"Pausen-Sheet, 0 bis 60 min plus freie Eingabe",15 min,0 bis 1440 min,steht in der Zeitleiste an der Nahtstelle zwischen den Phasen,Umbaupause zwischen Gruppenphase und K.-o.,—
4 · Setting up a Swiss System,4.1 Tournament Setup,Teams,"Zahlenfeld, Presets 4, 6, 8, 10, 12, 16",8,2 bis 64,"Bei ungerader Zahl Fußnote: ""One team sits out each round. The bye rotates.""",Feldgröße; bestimmt auch die automatische Rundenzahl,—
4 · Setting up a Swiss System,4.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1 bis 6",2,1 bis 32,"Warnung bei mehr Feldern als nutzbar: ""Only {usable} courts can be used with {teams} teams — every team plays once per slot.""",Wie viele Partien gleichzeitig laufen,—
4 · Setting up a Swiss System,4.1 Tournament Setup,Referees,"""Fill every court"" / ""Keep a referee free""",Fill every court,—,wie bei League (siehe 1.1),Schiedsrichterdeckung aus dem Teilnehmerfeld,wie bei League (siehe 1.1)
4 · Setting up a Swiss System,4.1 Tournament Setup,Style,1vs1 bis 6vs6,2vs2,1 bis 6 je Seite,—,Mannschaftsgröße je Seite,—
4 · Setting up a Swiss System,4.1 Tournament Setup,Rounds,"""Auto ({n})"" oder 2 bis Maximum","Auto — aufgerundetes log₂ der Feldgröße, mindestens 2","Maximum = Teams − 1, höchstens 9","Auto wird beim Anlegen in eine feste Zahl aufgelöst, damit ein späterer Rückzug das Turnier nicht verkürzt","Wie viele Runden gespielt werden — je mehr, desto klarer die Rangfolge","""Auto — Enough rounds that only one team can stay unbeaten — log₂ of the field, rounded up."" (Beispiel: ""{teams} teams → {rounds} rounds"") · ""Fewer rounds — Quicker, but more teams finish level and the tiebreak decides more places."" (Beispiel: ""Good for a short evening session."") · ""More rounds — Separates the field further. Every extra round is another slot on the clock."" (Beispiel: ""Maximum here: {max} rounds — beyond that a rematch is unavoidable."") · bei ungerader Teamzahl zusätzlich: ""Odd number of teams — One team sits out each round. The bye rotates."" (Beispiel: ""Nobody sits out twice before everyone has once."")"
4 · Setting up a Swiss System,4.1 Tournament Setup,Generation,"""Random"" / ""Seeded""",Random,—,"""Seeded"" ausgegraut (noch nicht ausgeliefert)",Wie die erste Runde gepaart wird,—
5 · Setting up a Social Scramble,5.1 Tournament Setup,Target Players,"Zahlenfeld, Presets 4, 6, 8, 10, 12, 16, 20, 24",8,4 bis 64,—,Geplante Teilnehmerzahl; Grundlage für Spielplan und Rotation,"""How many players will take part in the session. Used to plan the schedule and rotations. The actual participants are added in the Players section below."""
5 · Setting up a Social Scramble,5.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1, 2, 3, 4, 5, 6, 8",1,1 bis 32,"Warnung, wenn die Spielerzahl die Felder nicht füllt: ""Only {active} of {courts} courts can be filled with {players} players in {perTeam}v{perTeam}. Reduce courts to {active} or add more players.""",Wie viele Partien gleichzeitig laufen,"""Number of courts available for play. More courts allow more simultaneous matches but require more players active at once."""
5 · Setting up a Social Scramble,5.1 Tournament Setup,Style,2vs2 bis 6vs6,2vs2,2 bis 6 je Seite,"Warnung, wenn kein Feld besetzt werden kann: ""At least {n} players are needed for one {perTeam}v{perTeam} court. Add more players or switch to a smaller format.""",Mannschaftsgröße je Seite,—
5 · Setting up a Social Scramble,5.1 Tournament Setup,Rounds,"Zahlenfeld, Presets 6, 8, 10, 12, 16, 20, 24, 30",12,1 bis 999,"Löst die Vorschläge unter der Vorschau aus (Abdeckung, gleiche Spielanteile)",Wie oft neu gemischt wird,"""How many rounds to play. The suggestions below help balance fresh partnerships against the total round count."""
5 · Setting up a Social Scramble,5.1 Tournament Setup,Match Duration,"Zahlenfeld, Presets 5, 8, 10, 12, 15, 20, 25, 30 (Einheit min)",4 min,1 bis 999 min,"muss größer als 0 sein, sonst kein Create",Wie lange eine Runde gespielt wird,"""How long each individual match lasts. Longer matches mean fewer rounds but more play time per match."""
5 · Setting up a Social Scramble,5.1 Tournament Setup,Break Between Rounds,"Zahlenfeld, Presets 0, 2, 3, 5, 7, 10 (Einheit min)",1 min,0 bis 999 min,0 heißt durchspielen ohne Pause,Zeit zum Wechseln und Durchatmen zwischen den Runden,"""Rest time between rounds. Allows players to rotate, catch their breath, and reset before the next round starts. Set to 0 for back-to-back play."""
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Zu wenige Runden,"Meldung in der App (wörtlich): ""At least 1 round is needed to build a schedule.""",Blockiert Create: ja,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Runde ohne Dauer,"Meldung in der App (wörtlich): ""Match and break duration must be greater than zero.""",Blockiert Create: ja,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Feld zu klein für ein Court,"Meldung in der App (wörtlich): ""At least {n} players are needed for one {perTeam}v{perTeam} court. Add more players or switch to a smaller format.""",Blockiert Create: ja,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Sehr großes Feld,"Meldung in der App (wörtlich): ""With {n} players the mixing becomes statistical — everyone-against-everyone is no longer guaranteed, but equal play time still is. This works well for large events.""",Blockiert Create: nein,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Ungleiche Spielanteile,"Meldung in der App (wörtlich): ""Uneven play at {rounds} rounds. Use a multiple of {unit} for equal games.""",Blockiert Create: nein,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Viele sitzen aus,"Meldung in der App (wörtlich): ""{sitting} of {players} sit out each round. Full coverage needs {target} rounds; with fewer, some pairs won't partner.""",Blockiert Create: nein,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Partner-Abdeckung erreichbar,"Meldung in der App (wörtlich): ""No repeat partners at {rounds} rounds. {target} rounds lets everyone partner with everyone."" bzw. ""Some partnerships repeat. {target} rounds lets everyone partner with everyone.""",Blockiert Create: nein,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Felder nicht füllbar,"Meldung in der App (wörtlich): ""Only {active} of {courts} courts can be filled with {players} players in {perTeam}v{perTeam}. Reduce courts to {active} or add more players.""",Blockiert Create: nein,,,,
5 · Setting up a Social Scramble,5.2 Suggestions — was die Seite von sich aus meldet,Fall: Zu wenige Aussetzer für Schiris,"Meldung in der App (wörtlich): ""With {players} players filling {active} courts in {perTeam}v{perTeam}, only {sitting} players sit out each round — {without} courts won't have a dedicated referee and will need scores entered manually.""",Blockiert Create: nein,,,,
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Target Players,"Zahlenfeld, Presets 8, 12, 16, 20, 24, 32, 48",16,"2 × Seitengröße (2vs2: 4) bis 128; baubar erst ab Feldboden 3 × Seitengröße, unter Auto-Allplay 4 × Seitengröße + 1",—,Geplante Teilnehmerzahl; steuert Zufalls-Auffüllen und die Plausibilitätsprüfung,"""How many players you plan to have. Used to size the 'fill random' quick-add and to check your court/round settings make sense."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Courts,"Zahlenfeld, Presets 1, 2, 3, 4, 5, 6, 8",2,1 bis 8,—,Wie viele unabhängige Warteschlangen gleichzeitig laufen,"""How many courts run at once, each with its own independent King of the Court queue for the round."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Style,2vs2 bis 6vs6,2vs2,2 bis 6 je Seite,"Eine Größe bleibt sichtbar, wird aber unwählbar, sobald das geplante Feld keine zwei vollen Seiten stellt. Fußnote nur am Limit: ""{n}vs{n} is the largest {players} players can fill""",Mannschaftsgröße je Seite,"""The format of each game — 2vs2, 3vs3, and so on. Sets how many players make up each team on court."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Rounds,"Zahlenfeld, Presets 3, 4, 5, 6, 8, 10, 12",6,1 bis 999,—,Wie oft der ganze Pool neu auf Felder und Teams gemischt wird,"""How many times the whole player pool gets mixed into new courts and teams."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Match Duration,"Zahlenfeld, Presets 8, 10, 12, 15, 20, 25, 30 (min)",12 min,1 bis 999 min,muss größer als 0 sein,"Wie lange eine Runde läuft, bevor neu gemischt wird","""How long each round runs before everyone is reshuffled into new courts and teams."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Break Between Rounds,"Zahlenfeld, Presets 0, 2, 3, 5, 7, 10 (min)",2 min,0 bis 999 min,—,Pause zwischen den Runden,—
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Strike Points,"Zahlenfeld, Presets 0, 3, 5, 7, 10, 15, 21",5,0 bis 999,0 schaltet die automatische Ablösung ab,"Punktzahl, mit der ein Team das Spiel gewinnt und das Feld als Sieger verlässt","""Points a team must score to win the game and be ejected as winners. Set to 0 to disable — teams stay on court until the coach manually ejects them."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Odd player handling,"""Placeholder"" / ""Jumper""",Placeholder,—,"""Jumper"" ist erst ab 4 × Seitengröße + 1 Spielern wählbar (2vs2: 9). Fußnote sonst: ""Jumper needs {count}+ players; with fewer the queue can loop unfairly, so Placeholder is used.""","Wie der Spieler behandelt wird, für den kein Partner übrig bleibt","""When a court can't be split evenly into teams of two, one player gets their own team and queues like everyone else — only their partner is decided by this setting. Placeholder picks a random free player the first time they take the court, then keeps that same partner for the rest of the round. Jumper re-picks a partner every time, using a fairness calculation so playing time stays balanced across the round. Either way, the odd player's own team earns the points, just like every other team."""
6 · Setting up a Royal Rotation,6.1 Tournament Setup,Assignment,"""Manual"" / ""Automated"" / ""Auto-Allplay""",Manual,—,"Der Modus hebt den Spielerboden je Feld: Manual und Automated brauchen 3 × Seitengröße, Auto-Allplay 4 × Seitengröße + 1. Fußnote nur bei Unterdeckung: ""{mode} needs at least {count} players per court.""",Wie das nächste Team aufs Feld kommt,"""How the next court team is chosen. Manual — the coach selects players from the queue by tapping them. Automated — TournaQ suggests the best team, prioritising players who have waited longest and haven't been paired together recently. The coach can re-roll before confirming. Automated — All Play — like Automated but no dedicated coach. A rotating referee keeps score while everyone else plays. TournaQ picks a random starting referee and suggests the next handoff from the ejected team after each game."""
