HTML File,Status,Title,Description
live-tournament.html,Planned,Live bracket visualisation,An interactive bracket diagram that updates live as matches complete — shareable with teams and displayable on venue screens.
device-scalability.html,Available,Mobile-first design,"Optimised for use on smartphones. Touch targets, layout, and navigation are designed for one-handed use during a live match."
device-scalability.html,Available,Offline-first local storage,All match data is stored on-device using local storage. TournaQ works fully without an internet connection — no signal required on court.
device-scalability.html,Available,Portrait & landscape orientation,The scoring interface adapts to both portrait and landscape orientations to suit different holding preferences and device types.
device-scalability.html,Planned,Large screen tournament view,A dedicated layout for larger screens that shows multiple courts or full bracket views simultaneously — designed for tournament control rooms.
device-scalability.html,Planned,Cast to display,Project the live scoreboard or bracket view to an external screen or TV at the venue — for spectators and team benches.
navigation.html,Available,Three top-level destinations,"The Home screen splits the app into TournaQ Arena for all games and tournaments, Administration for players, teams, and groups, and More for everything alongside them. Everything else branches off these three."
navigation.html,Available,More,"More collects the screens that sit beside the main flow: Contact & About (social links, support channels, legal documents, and the app version), Sponsoring & Promo (advertising and partnership opportunities), and Settings."
navigation.html,Available,Straightforward navigation,"Every route follows the same shape — from a top-level destination into a hub, from the hub down to the next level of detail, and back the same way. No hidden paths and no dead ends."
navigation.html,Available,TournaQ Arena mode hub,"Every game and tournament mode is grouped into three categories — Quick Games, Single Competitions & Socials, and Team Competitions — each a large tappable card."
navigation.html,Available,Mode availability at a glance,"Available modes are shown in gold with a badge counting the tournaments already played in that mode. Modes still in development appear in grey with a ""Soon"" badge."
navigation.html,Available,Built-in mode help,"An info icon on every mode card explains the format before you commit to it, with a ""Learn more"" link through to the website."
navigation.html,Available,Three-step path to a scorecard,"Pick a mode, configure the setup, open a match. The path is identical in every format — learn it once and it applies to all of them."
navigation.html,Available,Tournament dashboard,"Each tournament opens on a dashboard showing the full schedule grouped by round, with team names, courts, times, match status, and a completion percentage. Tap any match to score it."
navigation.html,Available,Tournament history by mode,"Past tournaments are saved on the device and listed in the Arena's history panel, grouped by mode with a total count — so any previous event is a couple of taps away."
navigation.html,Available,Coming Soon feature cards,"Modes and features still in development appear as cards in the Arena and on the Home screen, each linking through to the website, the feedback form, and email."
navigation.html,Available,Language & privacy settings,"Settings offers four language options — Automatic, English, Deutsch, Español — and a Privacy Options link for managing ad consent choices."
user-administration.html,Available,Reusable player & team library,"Players, teams, and groups are saved once and available in every mode — Quick Games, Social Scrambles, King of the Court, Doghouse, and Single Elimination. No re-entering names each session."
user-administration.html,Available,Players hub with search & filters,"Every saved player in one searchable list, filterable by name, team, or tournament. Each entry shows how many teams, groups, and tournaments the player belongs to, and can be edited or deleted inline."
user-administration.html,Available,Create players,Add a player with a name — or a suggested one — and optionally assign them to existing teams and groups at the moment of creation.
user-administration.html,Available,"Export & import players, groups & teams","Export your player, group, and team data and import it back — or onto another device — so setting up a bigger event doesn't mean re-entering every name by hand."
user-administration.html,Available,Teams hub with saved rosters,"Pre-formed teams are stored with their player rosters and can be browsed by name, player, or tournament. Each entry shows the player count and group membership."
user-administration.html,Available,Create teams,"Name a team, link it to existing player profiles, and assign it to one or more groups. It is immediately available in the Add Existing Teams list across all bracket modes."
user-administration.html,Available,"Groups for clubs, venues & series","Organise players and teams into groups that represent a club, a venue, or a recurring event series. A player or team can belong to several groups at once."
user-administration.html,Available,Group filtering during setup,"Every player and team import panel offers a group filter, so a club session can be set up by filtering to that group and adding its members in a few taps."
user-administration.html,Available,Add existing players in-game,"During tournament setup, Add Existing Players opens the full saved library with search and group filter. Tap + on any name to add them, with a counter tracking the remaining spots."
user-administration.html,Available,Add existing teams in-game,"In bracket modes, Add Existing Teams lists all saved teams with their player counts. Adding a team loads its player names automatically, ready to appear on scorecards."
user-administration.html,Available,Inline player import in Quick Games,Each player slot in a Quick Game team has a search icon that opens the Players Hub inline — find a saved player and drop them straight into the slot without leaving the screen.
user-administration.html,Available,Edit players in ongoing tournaments,inline editing (quick game) or via tournament player management
user-administration.html,Available,"Stored on the device, no account needed",The whole administration library lives locally on the device and works without an internet connection or a sign-up.
user-administration.html,Planned,Add Random Players or Team,Too Lazy to set up actual Players or teams? Let the system create random Players and Teams for you.
